borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,diversity_index
Manhattan,01M292,Lower East Side,M,1,Henry Street School for International Studies,2006,434,44.5,55.5,13.1,31.6,47.9,4.200000000000003,3.2,22.4,10.6,85.6,186.0,83.18,13.32,3.04,,,,65.0754
Manhattan,01M448,Lower East Side,M,1,University Neighborhood High School,2006,533,51.6,48.4,24.2,17.4,47.3,7.000000000000013,4.1,15.6,6.8,71.5,170.0,87.81,12.0,0.0,116.0,75.0,7.76,68.085
Manhattan,01M450,East Village,M,1,East Side Community School,2006,562,47.3,52.7,4.8,28.6,60.0,1.2999999999999972,5.3,25.1,5.0,70.6,181.0,81.4,13.08,5.34,133.0,67.67,15.79,55.2922
Manhattan,01M509,Chinatown,M,1,Marta Valle High School,2006,619,50.4,49.6,13.2,18.9,66.2,0.10000000000000853,1.6,23.3,11.6,81.5,186.0,81.25,13.34,5.24,124.0,54.03,19.35,50.8354
Manhattan,01M539,Lower East Side,M,1,"New Explorations into Science, Technology and Math",2006,879,55.3,44.7,20.7,7.3,15.0,0.20000000000000284,56.8,4.6,0.0,14.6,186.0,93.71,3.89,2.29,24.0,95.83,4.17,60.66940000000001
Manhattan,01M696,Lower East Side,M,1,Bard High School Early College,2006,546,71.8,28.2,10.8,18.3,17.6,15.799999999999995,37.5,0.2,0.0,23.2,168.0,91.14,7.93,0.55,229.0,96.07,1.31,75.8282
Manhattan,02M047,Gramercy,M,2,47 The American Sign Language and English Secondar,2006,212,59.0,41.0,4.2,25.5,55.2,1.8999999999999917,13.2,44.3,1.9,62.0,186.0,81.46,13.17,4.88,29.0,13.79,6.9,61.072199999999995
Manhattan,02M260,Chelsea-Union Sq,M,2,M.S. 260 Clinton School Writers & Artists,2006,246,63.4,36.6,9.8,17.9,26.0,1.1999999999999886,45.1,11.0,1.6,25.0,186.0,95.08,4.92,0.0,,,,68.721
Manhattan,02M288,Clinton,M,2,Food and Finance High School,2006,324,59.0,41.0,2.2,46.0,46.0,1.7999999999999972,4.0,13.9,4.6,61.3,170.0,86.56,13.11,0.0,2.0,0.0,0.0,57.4392
Manhattan,02M294,Chinatown,M,2,Essex Street Academy,2006,270,46.7,53.3,5.2,24.1,54.1,2.5,14.1,13.0,7.4,70.3,178.0,84.76,13.01,1.49,1.0,0.0,0.0,62.6028
Manhattan,02M296,Clinton,M,2,High School of Hospitality Management,2006,303,72.6,27.4,3.3,34.3,56.1,3.300000000000012,3.0,7.3,4.3,33.6,175.0,79.86,16.67,3.12,,,,56.45519999999999
Manhattan,02M298,Chinatown,M,2,Pace High School,2006,310,48.4,51.6,29.4,27.4,29.0,9.0,5.2,7.1,1.6,97.6,173.0,92.16,7.84,0.0,1.0,0.0,0.0,74.3584
Manhattan,02M300,Clinton,M,2,Urban Assembly School of Design and Construction,2006,307,31.6,68.4,4.2,25.4,61.9,4.299999999999997,4.2,6.8,7.5,55.7,172.0,86.1,13.9,0.0,2.0,0.0,0.0,54.6946
Manhattan,02M303,Clinton,M,2,"Facing History School, The",2006,216,43.5,56.5,2.3,31.5,60.6,2.799999999999997,2.8,17.6,11.6,81.1,175.0,80.75,14.55,4.23,,,,53.1442
Manhattan,02M305,Chinatown,M,2,"Urban Assembly Academy of Government and Law, The",2006,170,52.9,47.1,4.1,41.8,41.8,2.9000000000000057,9.4,8.2,0.6,59.8,171.0,86.9,11.9,0.6,,,,63.9194
Manhattan,02M308,Chinatown,M,2,Lower Manhattan Arts Academy,2006,162,54.3,45.7,4.9,34.6,49.4,3.0999999999999943,8.0,17.3,1.9,62.7,170.0,87.65,12.35,0.0,,,,62.6486
Manhattan,02M316,Lower Manhattan,M,2,Urban Assembly School of Business for Young Women,2006,206,100.0,0.0,3.4,35.0,53.9,6.200000000000002,1.5,8.3,3.9,73.8,169.0,86.0,13.5,0.0,1.0,0.0,0.0,58.17539999999999
Manhattan,02M400,Clinton,M,2,High School for Environmental Studies,2006,1447,51.0,49.0,16.9,23.1,43.7,1.0,15.3,10.6,3.9,41.0,170.0,88.33,11.6,0.0,732.0,78.28,9.29,70.36
Manhattan,02M407,Gramercy,M,2,Institute for Collaborative Education,2006,411,47.9,52.1,7.8,21.2,26.0,1.2000000000000028,43.8,5.6,0.5,24.0,182.0,88.51,6.85,4.4,93.0,84.95,4.3,68.9384
Manhattan,02M408,Clinton,M,2,Professional Performing Arts High School,2006,404,71.5,28.5,3.7,23.0,15.6,12.400000000000004,45.3,6.9,0.2,17.9,184.0,87.06,6.09,6.6,176.0,92.05,3.98,70.08099999999999
Manhattan,02M411,Chelsea-Union Sq,M,2,Baruch College Campus High School,2006,413,62.0,38.0,59.6,5.8,10.7,1.0999999999999943,22.8,2.4,0.2,47.2,168.0,96.82,2.93,0.0,193.0,98.45,0.52,57.7866
Manhattan,02M412,Chelsea-Union Sq,M,2,N.Y.C. Lab School for Collaborative Studies,2006,472,55.7,44.3,25.2,10.2,11.2,2.300000000000012,51.1,10.6,0.4,13.6,170.0,94.92,4.45,0.42,185.0,98.92,0.54,65.18979999999999
Manhattan,02M413,Gramercy,M,2,School of the Future High School,2006,697,51.8,48.2,15.2,23.0,28.0,1.4000000000000057,32.4,16.5,0.4,28.6,185.0,93.22,6.2,0.43,144.0,86.81,2.08,74.0424
Manhattan,02M414,Chelsea-Union Sq,M,2,N.Y.C. Museum School,2006,380,52.6,47.4,12.6,22.1,43.9,0.9000000000000057,20.5,10.5,0.3,37.4,170.0,91.49,8.51,0.0,109.0,88.07,2.75,70.0456
Manhattan,02M416,Lenox Hill,M,2,Eleanor Roosevelt High School,2006,479,62.6,37.4,21.7,7.5,10.9,4.599999999999994,55.3,2.5,,21.8,170.0,95.41,4.38,0.0,103.0,95.15,0.97,62.748000000000005
Manhattan,02M418,Lower Manhattan,M,2,Millennium High School,2006,519,61.8,38.2,35.6,10.2,18.3,9.100000000000009,26.8,8.1,0.4,45.4,170.0,96.11,3.89,0.0,91.0,90.11,1.1,74.9266
Manhattan,02M419,Chelsea-Union Sq,M,2,Landmark High School,2006,431,50.3,49.7,2.6,31.6,60.3,1.5999999999999943,3.9,17.6,4.2,61.0,170.0,80.43,19.33,0.0,174.0,67.24,14.94,53.40820000000001
Manhattan,02M420,Gramercy,M,2,High School for Health Professions and Human Servi,2006,1474,69.1,30.9,22.5,25.0,44.5,3.9000000000000057,4.1,5.9,3.7,66.2,170.0,88.5,11.43,0.0,614.0,82.57,9.77,68.5648
Manhattan,02M425,Lower Manhattan,M,2,Leadership and Public Service High School,2006,683,54.3,45.7,11.4,27.5,54.2,1.0,5.9,14.9,4.0,50.2,170.0,82.94,17.06,0.0,241.0,70.54,16.6,61.4034
Manhattan,02M439,Chelsea-Union Sq,M,2,Manhattan Village Academy,2006,402,63.7,36.3,6.0,28.9,59.5,1.0999999999999943,4.5,8.5,3.7,62.3,172.0,92.15,6.08,1.52,143.0,81.82,2.1,55.6708
Manhattan,02M449,Lenox Hill,M,2,Vanguard High School,2006,382,53.7,46.3,1.6,32.5,53.7,3.7999999999999825,8.4,19.9,5.2,62.0,169.0,83.56,16.17,0.0,129.0,70.54,21.71,59.724999999999994
Manhattan,02M459,Lenox Hill,M,2,Manhattan International High School,2006,341,54.0,46.0,27.6,13.8,44.9,0.19999999999998866,13.5,0.3,53.4,68.9,170.0,91.62,8.08,0.0,108.0,71.3,7.41,68.49499999999999
