dbn,category,open_year,borough,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,overview,address,website,activities,sports,postcode,lat,lon,diversity_index,number_of_activities,number_of_sports,student_trust_score,crime_rate,avg_rent_per_sqft,rent_level
01M292,High school,2004,Manhattan,Lower East Side,M,1,Orchard Collegiate Academy,2018,197,46.2,53.79999999999999,9.6,26.899999999999995,56.89999999999999,3.6000000000000005,3.0,27.9,11.7,81.2,167.0,91.84,8.16,0.0,171.0,78.95,17.54,"Orchard Collegiate Academy (OCA) is a supportive, high-quality community school with a focus on college and career readiness. At OCA, our mission is to educate the whole child, exposing them to an array of academic and extracurricular opportunities including music and arts classes, AP classes, leadership roles. Our school partners with the Henry Street Settlement to provide additional college prep, arts programming, social-emotional support, and resources/referrals for the entire family. Students benefit from a full-time college counselor who provides one-on-one counseling and trips to all students. Our partnership with the Abrons Arts Center allows students to enroll in world-class performing arts classes, such as Drama, Music, and Dance.",220 Henry Street,schools.nyc.gov/SchoolPortals/01/M292,"Aerospace and Aeronautics Class, Community Service Opportunities, Computer Programming, Concert Band, Dance Club, Debate Club, Fitness Club, Music and Audio Club, Social Support Club, Social Emotional Learning Groups, Social Justice Club, Student Government/Leadership, Yearbook; OCA houses a school-based mental health clinic, run by the Henry Street Settlement. Students and families are seen for individual and family therapy.","Boxing, Soccer, Wrestling",10002,40.713362,-73.986051,59.24660000000001,14,3,8.14,28.80191190401236,30.037656249999998,3.0
01M448,High school,1999,Manhattan,Lower East Side,M,1,University Neighborhood High School,2018,483,47.6,52.40000000000001,36.9,19.5,38.1,1.0,4.6,16.8,14.7,86.7,167.0,91.25,8.75,0.0,396.0,89.39,9.09,"UNHS offers challenging curricula with individualized support, empowering students to prosper in higher education and the work force. Our students can earn up to 24 tuition-free college credits before graduating high school through Advanced Placement courses and College Now classes. In our NAF Academy of Hospitality and Tourism, students can develop college and workplace skills, explore various careers through internships, and graduate with a CTE-endorsed diploma. Our arts program, which includes visual arts, dance, and music, allows students to graduate with an Arts-endorsed diploma. In all, UNHS creates an environment in which every student can succeed and be prepared for the college and career world.",200 Monroe Street,universityneighborhoodhs.org,"Clubs: Art, Band, Book, Chess, Computer, Cooking, Dance, Glee, LGBTQ, Music, National Honor Society, School Newspaper, Student Government, Travel, Weight Training, Young Women's Empowerment. Extra Support: After-School/Saturday Regents Prep, After-School/Saturday SAT Prep, ESL Saturday Academy, Lunchtime/After-School Tutoring.","Baseball, Basketball, Bowling, Girls Softball, Flag Football, Handball, Soccer",10002,40.712269,-73.984128,67.8437,19,7,8.36,28.80191190401236,30.037656249999998,3.0
01M450,Secondary School,1996,Manhattan,East Village,M,1,East Side Community School,2018,680,47.5,52.5,11.8,16.6,53.79999999999999,2.5,15.3,27.1,1.3,66.5,178.0,94.64,5.21,0.0,449.0,95.1,2.9,"We are a small college preparatory school that takes pride in our engaging and challenging curriculum. In all classes, our students creatively apply what they learn to complete interesting and rigorous projects. Our teachers know our students well and provide the support they need to succeed. Because we believe that it is important for students to discover and develop their passions, we offer our students an amazing amount of extra curricular activities and travel opportunities that they enjoy tremendously. East Side is a great setting for students who are interested in being part of a vibrant and diverse community that focuses on academic, social, and emotional growth.",420 East 12th Street,www.eschs.org,"Brotherhood and Sisterhood, Cheerleading, Chess, Crew Team, Cycling, Dance, Environmental Club, Gardening, Gay-Straight Alliance, Guggenheim Mentor Program, Guitar Ensemble, Jewelry Making, LES Girls Club Cooking and Fashion/Sewing, Model UN, Music Production through BEAT Rhymers, National Honors Society, Photography, Principal's Book Club, Rock Band, Rock Climbing through Brooklyn Boulders, School Newspaper, Skateboarding, Snowboarding and Surfing through Stoked, Yoga and more.","Baseball, Basketball, Bicycling, Crew/Rowing, Fitness, Rock Climbing, Skateboarding, Soccer, Softball, Snowboarding, Surfing, Volleyball, Yoga",10009,40.729152,-73.982472,64.50420000000001,24,13,8.62,28.80191190401236,34.40342099567099,3.0
01M509,High school,1996,Manhattan,Chinatown,M,1,Marta Valle High School,2018,127,60.6,39.4,7.1,37.0,51.2,2.4,2.4,27.6,6.3,88.2,167.0,79.84,20.16,0.0,259.0,74.52,15.44,"Marta Valle High School is a growing school community that believes all students possess the intrinsic capabilities to achieve at high levels. We tailor our curriculum and instruction toward subjects that are academically rigorous and culturally responsive to our students' needs. This instruction is further enriched by experiences in the visual, performing, and culinary arts that takes place both during the school day as well as during our after school program. Through a foundation of social emotional support and academic achievement, all students at MVHS are provided with an educational experience that brings out their unique capabilities and will lead to success in their lives beyond high school.",145 Stanton Street,martavalle.org,"Beacon & Grand Street Settlement Programs onsite; Art Studio, Audio Recording Studio, Boxing, Cheerleading, Chess, College and Career Fair, Dance Studio, Extended Learning Time Enrichment & Tutoring, Family Night, Film and Photography, National Honors Society, Peer Conflict Resolution, Rugby, SAT Prep, Student Ambassadors, Video Game Club, Video Production, Visual Art, Theater; Students can form new clubs with a teacher and at least 10 interested students.",Volleyball,10002,40.72004,-73.986038,59.4763,19,1,,28.80191190401236,30.037656249999998,3.0
01M539,K-12 all grades,2000,Manhattan,Lower East Side,M,1,"New Explorations into Science, Technology and Math",2018,1754,47.5,52.5,33.3,6.7,11.3,8.9,39.7,9.2,1.6,23.5,179.0,93.36,3.78,2.86,814.0,97.05,0.74,"NEST+m is a Citywide G&T K-12 school. Our academically rigorous program has made us one of the finest schools in the city. We are committed to developing each student's capacity for academic and intellectual achievement through individual and collaborative learning.. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, artists, writers, historians, musicians, painters, and linguists who approach their studies with passion and purpose. Multiple opportunities exist for students to have internships at local universities in the sciences and the arts.",111 Columbia Street,nestmk12.net,"Art Exhibitions, Bi-annual Writing Competitions, Black Student Union, Borough Advisory Student Council, Chess Competitions, Comedy Troupe, Creative Writing Club, Debate, Dream Team, Girls Who Code, Hackathons, Key Club, Literary Magazine, LGBTQ+ Club, Math Team/Contests, Model United Nations, Muslim Student Association, National Honor Society, NHS Peer Tutoring, Open Mic Events, Peer Leaders, Robotics, Safe Space, SLT, Student Government, Talent Show, Winter and Spring School Plays","Badminton, Baseball, Cross-Country, Dance, Outdoor Track, Soccer, Softball, Table Tennis, Volleyball",10002,40.719416,-73.97958100000002,70.6323,27,9,6.16,28.80191190401236,30.037656249999998,3.0
01M696,High school,2001,Manhattan,Lower East Side,M,1,Bard High School Early College,2018,615,61.6,38.4,28.9,10.7,17.6,2.4,40.3,7.8,0.2,40.2,167.0,95.1,4.9,0.0,625.0,99.2,0.0,"Bard High School Early College Manhattan (BHSEC Manhattan) was founded on the belief that many students are ready to do serious college work at age 16. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move in four years from ninth grade through the first two years of college, earning a high school diploma, up to sixty college credits, and an Associate of Arts (AA) degree upon graduation.",525 East Houston Street,bard.edu/earlycollege,"Art Magazine, Asian Culture, Bard Bulletin and Bardvark Newspapers, BHSEC Connect, BHSEC Literary Magazine, BHSEC Student Activist Network, Book, Break Dance, CAFE performances, Chinese Language and Culture, Current Events, Debate, ECO, Film, Future Doctors and Scientists of America, Karaoke, Literary Magazine, Making A Change, Mock Trial, Model UN, Muslim Students Association, Philosophy, Step Team, Student Union, Swim, Table Tennis, Theater Production, Winter and Spring Concerts, Yearbook",Coed Ultimate Frisbee,10002,40.718276,-73.976093,71.10690000000001,29,1,7.66,28.80191190401236,30.037656249999998,3.0
02M047,High school,1908,Manhattan,Gramercy,M,2,47 The American Sign Language and English Secondar,2018,196,71.4,28.6,3.1,27.6,64.3,0.5,4.6,27.0,4.6,88.3,167.0,90.16,9.84,0.0,198.0,90.91,4.04," the American Sign Language and English High School, we believe that all students have the right to learn in an inclusive, academically rigorous environment. Our elective courses challenge our students' creativity and our graduates emerge proficient in American Sign Language (ASL). Our school community nurtures responsible citizens of the world, addressing all aspects of young adult development by providing the necessary individual supports for our students to be college and career ready.",223 East 23rd Street,47aslhs.net,"After-School Tutoring, Archery, ASL Performance, ASL Poetry, Chess, Chorus, Coding Club, Computer Science, College Tours, Creative Writing, Dance, Drama, Drumming, Food & Nutrition, Forensics, Knitting, SAT Prep, School Web Design, Student Council, Studio Art, Video Production and Editing, Visits to ASL Interpreted Broadway Shows, Weight Room, Yearbook, Yoga","Clubs: Archery, Basketball, Cheerleading (All Coed), Soccer, Volleyball",10010,40.738374,-73.981329,50.7273,25,5,6.46,116.1780589202105,46.30166666666666,3.0
02M135,High school,2013,Manhattan,Chinatown,M,2,The Urban Assembly School for Emergency Management,2018,265,53.2,46.8,5.7,28.7,60.0,2.6,3.0,21.1,3.4000000000000004,84.2,167.0,86.1,13.51,0.0,329.0,78.72,9.73,"The Urban Assembly School for Emergency Management is a public Career and Technical Education high school that prepares students to engage in complex quantitative and qualitative reasoning skills with an understanding of the principles of emergency management. UASEM graduates will be equipped with the skills necessary for entry into the emergency management field and for a college of their choice. Our students will engage with internships, collaborative simulations, student-led community training, and strong industry partnerships. We are a continuous-learning community invested in understanding our students' needs for career and college readiness and developing the personal responsibility and empowerment of our students, parents, and staff.",411 Pearl Street,uasem.org,"Clubs and Activities: Art and Mural Painting, Beat Making and Music Production, Black Lives Matter Club, Comic Book Club, Cooking Club, Credited College Courses, Dance, FDNY Explorers, Gay/Straight Alliance, International Trips, Literacy Leaders at NYPL, Mentoring, Music, National Honor Society, NYPD Explorers, Paid Internships, PSAT and SAT Preparation, SHOREline, Teen Community Emergency Response Team, Student Government, Summer Travel Opportunities, Yearbook","Soccer, Urban Assembly Basketball League",10038,40.711441,-74.000851,55.2806,22,2,6.78,116.1780589202105,35.376666666666665,3.0
02M139,High school,2013,Manhattan,Clinton,M,2,Stephen T. Mather Building Arts & Craftsmanship Hi,2018,401,36.4,63.6,4.2,26.4,63.1,2.0,4.2,25.2,7.200000000000001,79.3,168.0,84.65,14.58,0.51,351.0,80.91,11.4,"Are you looking for a quality high school that leads you to college, a rewarding career, or both? Do you like challenging projects, working with your hands, and learning by doing? How about fieldtrips and exploring the outdoors? Are you creative, curious, action-oriented, responsible, a positive risk-taker, collaborative, and conscientious? At our school, you will prepare for college and beyond through hands-on/minds-on learning and skills training. With our amazing partner the National Park Service (NPS), we offer a CTE pathway in the specialized building arts and landscape management, both through the historic preservation lens. You will build a strong academic foundation and learn solid trade skills, opening doors to a successful future.",439 West 49th Street,MatherHSNYC.org," Newspaper, Peer Mediation, Performing Arts Club, Student Ambassadors, Student Government, Summer Internships, Tutoring/Peer Tutoring, Visual Arts, and tons of culture-building activities like Mather Gather, Fleek Week, and the Mather Move-up.","3-on-3 Student Basketball Tournament, Aerobic Training, Annual Student vs. Staff Basketball Game, Flag Football, Intramural Soccer, Weightlifting, Yoga, and others upon request",10019,40.763655,-73.990318,52.8215,11,8,7.58,116.1780589202105,34.01026041666667,3.0
02M260,Secondary School,2000,Manhattan,Chelsea-Union Sq,M,2,The Clinton School,2018,726,68.0,32.0,12.7,4.0,12.4,7.3,63.6,16.7,0.3,16.0,179.0,92.4,3.73,3.59,,,,"Clinton is an International Baccalaureate World School, offering the Diploma Programme to all 11th and 12th graders. The IB is widely recognized as the most rigorous, truly international curriculum in the world. Students are expected to complete Regents requirements, including Algebra, Geometry, English, and US History in 9th and 10th grade and move to all IB classes in 11th and 12th grade. Our classes have a focus on written work, independent research, and public speaking, all integral to success in college. We have partnered with Baruch College as part of the College Now program, and are also a partner school with the Whitney Museum. Since 2015 we have been in a new building off Union Square, our permanent home.",10 East 15th Street,theclintonschool.net,"The Clinton Post (School Newspaper), Clinton Soup (Literary Magazine), CUNY College Now with Baruch College, GLSEN, Model UN, National Honor Society, School Leadership Team, School Musical, Student Government, Technology","Cross Country, Track and Field, Soccer, Flag Football, Basketball",10003,40.736526,-73.992727,55.706999999999994,10,5,6.22,116.1780589202105,45.66458333333333,3.0
