dbn,category,open_year,borough,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,mean_score_math,mean_score_ela,overview,address,website,schoolday_duration,uniform,extendedday,summersession,weekendprogram,electiveclasses,activities,othersports,postcode,lat,lon,pupil_teacher_ratio
01M034,K-8,1955,Manhattan,Lower East Side,M,1,P.S. 034 Franklin D. Roosevelt,2018,305,47.5,52.5,2.6,33.4,59.699999999999996,1.3,3.0,37.4,7.200000000000001,98.7,178.0,88.31,11.36,0.0,183.25,200.5,"The P.S. 34 Franklin Delano Roosevelt Middle School experience provides students the opportunities to develop as independent, critical thinkers immersed in rigorous instruction to promote college- and career-readiness skills. As we focus on teaching the whole child in a safe, nurturing environment we encourage positive social emotional growth and provide community service opportunities to enhance our students' academic growth. Our school setting enables us to address students individual academic, social, and behavioral needs. We take students on field trips to universities, such as Harvard and Yale. As an adopted school by the District Attorney's office, our students take trips to the courthouse and law firms. Some special programs we offer include: mock trial, peer mediation, student council, Book Club, basketball, volleyball, and flag football. We recognize student achievement monthly during assemblies for perfect attendance, Scholar of the Month, and Honor Roll. Honor students are rewarded with trips to go bowling and ice skating. Parents appreciate our supportive learning environment where teachers know the students well and expect the best from each student.","730 East 12th Street, Manhattan NY 10009",sites.google.com/site/fdracademy34,7:45am-2:40pm,No,Yes,No,Yes—Saturday program for test prep,,Academic After School ; Arbron Arts ; Basketball ; Career Day ; Flag Football ; Junior Achievement ; Mighty Milers ; Peer Mediation ; Penny Harvest ; SONYC After-School Program ; Student Council ; Technology ; Third Street Music School ; Urban Advantage ; Volleyball,"Basketball, Soccer, Softball, Track and Field",10009.0,40.726473,-73.975181,9.0
01M140,K-8,1959,Manhattan,Lower East Side,M,1,P.S. 140 Nathan Straus,2018,385,48.8,51.2,4.4,14.000000000000002,79.2,0.0,2.3,35.6,11.2,83.4,178.0,88.71,11.29,0.0,183.5,201.25,"We are a community of learners focused on success. We encourage our students to take risks, to try their best, and to take advantage of the opportunities offered at our school. We take pride in the small school community. The students say: ""The teachers are very understanding and supportive. They care about us and point us in the right direction."" In order to meet the Common Core Standards, the curricula used are Scholastic Code-X for ELA and Pearson CMP3 for Math. In social studies and science courses, we focus on project-based learning. We have a technology lab, science lab, and a fully equipped gymnasium. Our students have a variety of leadership opportunities through student council, safety patrol, and book buddies with the lower grades. In addition, our students receive small group support and/or elective on alternating days. Our students have the opportunity to participate in a variety of after-school programs funded by the 21st Century and community-based organizations.","123 Ridge Street, Manhattan NY 10002",schools.nyc.gov/schoolportals/01/m140,8am-2:20pm,No,No,No,No,"Acting, Build-a-Bear, Chorus, Comic Book Writing, Community Service, Creative Writing, Drawing, Fashion, Foreign language, Health, Keyboards, Latin Dance, Living Environment Regents, Math Club, Needlepoint, Newspaper, Peer Mediation, Recycled Art, Tropical Ecology, Vision Media Robotics, Yoga","Academic Enrichment After-School Programs: Literacy, Mathematics, Social Studies, Science, and Specialized High School Prep ; Artists Space High School Art Portfolio Club & Photography Club ; Arts Programs ; Big Brothers/Big Sisters Leadership Program ; Drama ; Drumming ; Graduation Committee ; Grand Street Academic Enrichment ; Smartworks Fine Arts ; Yearbook Committee","Baseball, Basketball, Step",10002.0,40.71925,-73.983056,12.2
01M184,K-8,1999,Manhattan,Lower East Side,M,1,P.S. 184m Shuang Wen,2018,678,49.7,50.3,69.0,4.0,13.100000000000001,6.3,7.5,15.6,14.6,67.7,178.0,97.5,2.35,0.0,266.15000000000003,249.2,"We are developing a culture of college-minded students and working with community members to create a challenging learning environment. Parents appreciate our family-like atmosphere and the bilingual, bi-cultural learning opportunity. In school year 2018-2019, dual-language program courses will extend to both sixth and seventh grade which will continue to grow one grade at a time each year. In the Dual Language Program, there will be a beginning level dual-language program for students who are less proficient in Mandarin Chinese, and an advanced level dual-language program for students who are more advanced in Mandarin Chinese. Core subjects such as math, Chinese language arts, music, and dance may be delivered in both English and Mandarin Chinese on alternate schedules. All middle school students will have opportunity to participate in an Accelerated Math Program and Accelerated Science Program which will end with Integrated Algebra I Regents Exam, Living Environment Regents Exam, and Chinese Language Proficiency Exam in eighth grade.","327 Cherry Street, Manhattan NY 10002",ps184m.org,8:20am-2:40pm,Yes,Yes—After-School,Yes,No,,Basketball Clinic ; Computer Technology ; Fine Art ; Kung-Fu Class ; Lion Dance ; Mentoring ; Public Speaking ; Shadow Box Theater ; SHSAT Prep and Homework Assistance,Basketball,10002.0,40.711549,-73.986542,13.3
01M188,K-8,1904,Manhattan,Lower East Side,M,1,P.S. 188 The Island School,2018,407,44.5,55.50000000000001,1.5,32.9,61.199999999999996,0.7,3.7000000000000006,33.9,7.400000000000001,93.6,178.0,87.56,12.2,0.0,202.65,211.8,Our mission at the Island School is to be relentless in our pursuit of the best ways to support student success. One way that we have done that—and will continue to do it—is by giving students a wide array of experiences so that they can identify areas of interest and talent and then develop those interests and talents into lifelong passions. Our faculty is committed to helping each of our children reach her/his full academic potential. We are developing a culture of college-minded students and working with community members to create a challenging learning environment. Parents like that we help identify and nurture their children's interest in the arts. Parents appreciate our partnerships with high schools such as Bard High School Early College.,"442 East Houston Street, New York NY 10002",island188.org,8am-2:50pm,Yes,Yes,Yes,Yes,Global Classroom Curriculum,Computer ; Dance ; Drama ; Theater ; Visual Arts,"Baseball, Basketball",10002.0,40.719598,-73.97790400000001,10.6
01M332,Junior High-Intermediate-Middle,2004,Manhattan,Lower East Side,M,1,University Neighborhood Middle School,2018,209,43.1,56.89999999999999,8.6,19.6,62.7,1.0,8.1,44.0,3.3000000000000003,84.2,178.0,91.47,8.06,0.0,175.3,196.04999999999998,"University Neighborhood Middle School (UNMS) creates a progressive learning experience for students. We set high academic and social expectations. UNMS offers a project-based, interdisciplinary approach to learning. Our partners include New York University, Henry Street Settlement, and Third Street Music School. Parents appreciate the small class sizes, and the intelligence and responsiveness of staff. Students participating in our Next Generation Extended Learning Program at NYU will enjoy an extended school year at New York University. Students will engage in learning on the NYU campus with access to their resources. Students will participate in trips throughout the year. Extended learning opportunities are also available for parents and students on Saturdays through our partnership with Henry Street Settlement. All UNMS students are eligible for this program. Students who are admitted to the Next Generation Extended Learning Program will be automatically enrolled.","220 Henry Street, Manhattan NY 10002",unmslearns.net,8:20am-2:40pm,Yes,Yes—After-School,Yes,No,,AM Homework Help ; Bio for Life Club ; Book Club ; Crochet/Knitting Club ; Film Club ; Geek Squad (Coding) ; Glee Club ; Hip Dance ; Humanities and Math Academy ; One-on-One Integrated Technology Program ; Project Arts ; Restorative Justice Committee ; Student Council ; Video Production ; Weekly Town Hall Meetings,"Basketball, Flag Football, Ultimate Frisbee, Yoga",10002.0,40.713684,-73.986336,7.2
01M378,Junior High-Intermediate-Middle,2008,Manhattan,Chinatown,M,1,School for Global Leaders,2018,250,41.2,58.8,12.8,23.6,56.39999999999999,3.2,4.0,38.0,10.0,84.4,178.0,89.06,10.55,0.0,200.0,202.9,"The School for Global Leaders is a small middle school that opened in 2008. We are currently known for our outstanding work in Common Core Standards and service-learning. The school is partnered with Columbia University Teachers College Reading and Writing Project to provide rigorous and individualized reading and writing programs. Students have opportunities to research and become actively involved in addressing world problems that they care about. Global Leaders enthusiastically participate in Integrated Projects Week (IPW), in which students work with one another on service-learning projects. Past projects have included a live puppet show about local poverty, a food drive benefiting City Harvest, a simulated Global Leaders News broadcast, online public service announcements, and the relighting of a community apartment building with energy efficient light bulbs. At the School for Global Leaders, learning and fun go hand-in-hand.","145 Stanton Street, Manhattan NY 10002",SGL378.org,8am-2:20pm,Yes,Yes,Yes—Academic support for certain students.,Yes—Saturday program for test prep,"Chorus, Culinary Arts, Integrated Algebra, Social Justice, Spanish, Theater, Visual Arts",After-School Tutoring ; Community Garden Work ; Debate Team ; Decorating Committee ; Hip Hop Club ; Salsa Club ; Saturday Academy,"Boys Baseball, Cheerleading, Girls Basketball, MSAL Boys Basketball, MSAL Girls Volleyball, Track and Field, Ultimate Frisbee",10002.0,40.720581,-73.98564499999999,7.6
01M450,Secondary School,1996,Manhattan,East Village,M,1,East Side Community School,2018,680,47.5,52.5,11.8,16.6,53.79999999999999,2.5,15.299999999999999,27.1,1.3,66.5,178.0,94.64,5.21,0.0,223.7,229.15,"We are a grade 6-12 college preparatory academy with a challenging and engaging curriculum. Our teachers know the students well and address each student's individual needs. Students love our small class size, our amazing teachers, the sense of community, and the countless special programs we offer, including our free and extensive after-school tutoring, arts, sports, leadership, travel, and academic enrichment programs. Students also rave about the unparalleled selection of books. Parents appreciate the communication and personalized attention they receive at East Side and regularly comment on its private-school feel. Each student has an advisor who provides ongoing academic, social, and emotional support, and communicates regularly with the family. Students and families greatly appreciate that college prep and awareness begins in sixth grade. All students develop graduation portfolios in the core subjects. Students present and defend their work to committees twice a year through our portfolio roundtable presentations. Students cannot graduate without completing this rigorous and engaging process of authentic assessment.","420 East 12th Street, Manhattan NY 10009",eschs.org,8am-3:30pm,No,Yes,Yes—Academic support and enrichment.,Yes—Saturday program,"Art, Chess, Coding, Dance, Digital Photography, Film, Guitar, High School Math, Language, Theater. Week Without Walls: Each May, the regular school year stops for a week while students choose from around 30 authentic learning experiences. Students have the opportunity to learn and be exposed to something new that is outside of the regular curriculum and/or to have the opportunity to concentrate heavily on something the student is or may potentially be very interested in or passionate about.",Art & Computer Design ; Chess ; College Bound Initiative ; Community Garden ; Cooking Club ; Environmental Club ; Gay-Straight Alliance ; Graphic Novel Club ; Honors Society ; Makers Club ; Peer Tutoring Program ; Photography ; Principal's Book Club ; Rock Band ; Scholars Program ; School Newspaper ; Science Seminar ; Skateboarding ; Student Government ; Travel Club ; Visual Arts ; Week Without Walls ; Youth for Debate Team,"Basketball, Crew, Cycling, Flag Football, Golf, Running, Skateboarding, Soccer, Softball, Track and Field, Volleyball, Yoga",10009.0,40.729589000000004,-73.982555,13.5
01M539,K-12 all grades,2000,Manhattan,Lower East Side,M,1,"New Explorations into Science, Technology and Math",2018,1754,47.5,52.5,33.3,6.7,11.3,8.9,39.7,9.2,1.6,23.5,179.0,93.36,3.78,2.86,288.35,288.15000000000003,"New Explorations into Science, Technology, and Math (NEST+m) is a Citywide G&T K-12 school. Our academically rigorous program has made us one of the finest schools in the city. We are committed to developing each student's capacity for academic and intellectual achievement. We are committed to developing each student's capacity to learn both individually and collaboratively. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, artists, writers, historians, musicians, painters, and linguists who approach their studies with passion and purpose.","111 Columbia Street, Manhattan NY 10002",nestmk12.net,8:20am-2:40pm,Yes,No,No,No,"Art Shows, Literacy/Theater class (with theater productions), Robotics, Studio Art (with annual exhibits), Winter and Spring Music Concerts",Chess Team ; Honor Band ; Jazz Band ; Math Team ; Theater ,"Baseball, Basketball, Flag Football, Soccer, Volleyball",10002.0,40.718895,-73.97930799999999,17.4
01M839,Junior High-Intermediate-Middle,2001,Manhattan,Lower East Side,M,1,Tompkins Square Middle School,2018,362,53.29999999999999,46.7,21.5,13.0,40.6,3.9,21.0,27.3,1.9,67.4,178.0,95.28,4.72,0.0,221.7,233.3,"Tompkins Square Middle School (TSMS) is a progressive public school serving a highly diverse community of students on the Lower East Side of Manhattan. TSMS is a community with high learning standards dedicated to fostering ethical, caring, self-reflecting, and critical thinkers. Students like the individualized attention alongside the feeling of community that is cultivated and strengthened by small-group advisory sessions. Families are also drawn to the remarkable diversity of the student body, the intelligence, warmth, and commitment of the staff, and the interdisciplinary, tech-savvy, project-based curriculum. TSMS has a longstanding history of sending well-prepared students to the strongest high schools in NYC.","600 East 6th Street, Manhattan NY 10009",tsmsonline.org,8:35am-2:35pm,No,Yes—After-School,Yes–Academic support and enrichment,No,"Dance, Multiple Art Courses, Music, Physical Education, Technology, Theater",Fashion Design ; Fitness ; Gay Straight Alliance ; Homework Help ; Knitting ; Literary Journal ; Newspaper ; Photography ; Sci-Hi Test Preparation ; Theater ; Yearbook,"Basketball, Flag Football, Soccer, Track and Field, Volleyball",10009.0,40.72438,-73.98138,12.4
02M104,Junior High-Intermediate-Middle,1956,Manhattan,Gramercy,M,2,J.H.S. 104 Simon Baruch,2018,1116,48.4,51.6,34.9,7.5,17.6,5.1,34.9,15.6,4.8,42.8,178.0,96.5,3.5,0.0,244.05,254.29999999999998,"Simon Baruch Middle School is a traditional middle school committed to developing students who think critically and who are civic minded. The school utilizes a house structure as an organizational model that allows teachers to know our students well. An assistant principal and guidance counselor are assigned to every grade level to ensure that support services are available to all students. We offer all students the chance to engage in a rigorous academic curriculum that challenges students to think critically and independently. Students engage in a balance of independent learning tasks and collaborative learning experiences. Our rigorous core content is supplemented by extensive arts and technology offerings that provide students with opportunities to develop their interests and talents. Our school supplements the regular instructional program with an extensive after-school program that provides students with academic enrichment, academic intervention, arts, and athletics.","330 East 21st Street, Manhattan NY 10010",104m.org,8:20am-2:40pm,No,No,Yes–Academic support for certain students,Yes–Saturday program for test prep,"Advanced Seventh Grade Math, Ceramics, Creative Writing, Drama, Instrumental Music, STEM, Technology, Visual Art, Yoga",Art ; Ceramics ; Chess ; Coding ; Cooking ; Dance Team ; Debate Team ; Drama Production ; Glee Club ; Green Team ; Hitmakers ; Instrumental Music ; Photography ; STEM Club ; Step Team ; Video Game Design ; Yearbook Committee,"Baseball, Basketball, Cheerleading, Fencing, Flag Football, Running Club, Soccer, Softball, Table Tennis, Tennis, Track, Ultimate Frisbee, Volleyball, Wrestling, Yoga",10010.0,40.736094,-73.980663,16.5
