BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
K400,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.4
M28U,2006,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
X430,2007,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.67,3.0,4.0
Q705,2007,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.67,1.5,1.6
K049,2007,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.4
K033,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K143,2007,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.67,2.5,2.4
K640,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.8
K117,2007,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.67,3.0,3.6
K304,2007,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.67,2.0,3.2
K258,2007,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.5,2.4
K704,2007,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.33,1.5,1.4
X079,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
K183,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,2.0,2.4
Q535,2007,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.67,2.0,2.4
M329,2007,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.67,3.0,3.6
X201,2007,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.6
K836,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.4
K645,2007,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,3.2
K435,2007,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.33,1.0,1.8
K957,2007,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6
K055,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0
Q465,2007,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,3.0,2.4
K271,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.5,1.6
X158,2007,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.67,3.0,2.4
Q420,2007,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.6
X135,2007,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.67,1.5,1.2
X113,2007,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.67,4.0,3.2
X425,2007,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.5,1.4
X686,2007,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.8
X450,2007,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.33,4.0,4.0
M172,2007,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.67,2.0,3.2
