district,borough,Category,Offense,felony_count
1,Manhattan,FELONY,ARSON,11
1,Manhattan,FELONY,BURGLARY,188
1,Manhattan,FELONY,CRIMINAL MISCHIEF & RELATED OF,102
1,Manhattan,FELONY,DANGEROUS DRUGS,90
1,Manhattan,FELONY,DANGEROUS WEAPONS,53
1,Manhattan,FELONY,FELONY ASSAULT,310
1,Manhattan,FELONY,FORGERY,45
1,Manhattan,FELONY,GRAND LARCENY,1070
1,Manhattan,FELONY,GRAND LARCENY OF MOTOR VEHICLE,55
1,Manhattan,FELONY,KIDNAPPING & RELATED OFFENSES,2
1,Manhattan,FELONY,MISCELLANEOUS PENAL LAW,127
1,Manhattan,FELONY,NYS LAWS-UNCLASSIFIED FELONY,4
1,Manhattan,FELONY,POSSESSION OF STOLEN PROPERTY,10
1,Manhattan,FELONY,RAPE,22
1,Manhattan,FELONY,ROBBERY,230
1,Manhattan,FELONY,SEX CRIMES,31
1,Manhattan,FELONY,THEFT-FRAUD,69
2,Manhattan,FELONY,ARSON,36
2,Manhattan,FELONY,BURGLARY,1352
2,Manhattan,FELONY,CRIMINAL MISCHIEF & RELATED OF,1068
2,Manhattan,FELONY,DANGEROUS DRUGS,329
2,Manhattan,FELONY,DANGEROUS WEAPONS,186
2,Manhattan,FELONY,ENDAN WELFARE INCOMP,3
2,Manhattan,FELONY,FELONY ASSAULT,1344
2,Manhattan,FELONY,FORGERY,625
2,Manhattan,FELONY,GRAND LARCENY,11342
2,Manhattan,FELONY,GRAND LARCENY OF MOTOR VEHICLE,289
2,Manhattan,FELONY,KIDNAPPING & RELATED OFFENSES,8
2,Manhattan,FELONY,MISCELLANEOUS PENAL LAW,674
2,Manhattan,FELONY,NYS LAWS-UNCLASSIFIED FELONY,192
2,Manhattan,FELONY,POSSESSION OF STOLEN PROPERTY,61
2,Manhattan,FELONY,PROSTITUTION & RELATED OFFENSES,4
2,Manhattan,FELONY,RAPE,140
2,Manhattan,FELONY,ROBBERY,1187
2,Manhattan,FELONY,SEX CRIMES,214
2,Manhattan,FELONY,THEFT-FRAUD,781
2,Manhattan,FELONY,ROBBERY,1
3,Manhattan,FELONY,ARSON,1
3,Manhattan,FELONY,ARSON,13
3,Manhattan,FELONY,BURGLARY,286
3,Manhattan,FELONY,CHILD ABANDONMENT/NON SUPPORT,2
3,Manhattan,FELONY,CRIMINAL MISCHIEF & RELATED OF,202
3,Manhattan,FELONY,DANGEROUS DRUGS,107
3,Manhattan,FELONY,DANGEROUS WEAPONS,57
3,Manhattan,FELONY,FELONY ASSAULT,420
3,Manhattan,FELONY,FORGERY,59
3,Manhattan,FELONY,GRAND LARCENY,1607
3,Manhattan,FELONY,GRAND LARCENY OF MOTOR VEHICLE,101
3,Manhattan,FELONY,KIDNAPPING & RELATED OFFENSES,4
3,Manhattan,FELONY,MISCELLANEOUS PENAL LAW,239
3,Manhattan,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2
3,Manhattan,FELONY,POSSESSION OF STOLEN PROPERTY,14
3,Manhattan,FELONY,RAPE,21
3,Manhattan,FELONY,ROBBERY,426
3,Manhattan,FELONY,SEX CRIMES,38
