borough,district,Category,Offense,felony_count
Bronx,4,FELONY,DANGEROUS DRUGS,1
Bronx,5,FELONY,NYS LAWS-UNCLASSIFIED FELONY,1
Bronx,7,FELONY,ARSON,49
Bronx,7,FELONY,BURGLARY,269
Bronx,7,FELONY,CHILD ABANDONMENT/NON SUPPORT,3
Bronx,7,FELONY,CRIMINAL MISCHIEF & RELATED OF,313
Bronx,7,FELONY,DANGEROUS DRUGS,299
Bronx,7,FELONY,DANGEROUS WEAPONS,137
Bronx,7,FELONY,ENDAN WELFARE INCOMP,1
Bronx,7,FELONY,FELONY ASSAULT,930
Bronx,7,FELONY,FORGERY,123
Bronx,7,FELONY,GRAND LARCENY,779
Bronx,7,FELONY,GRAND LARCENY OF MOTOR VEHICLE,136
Bronx,7,FELONY,MISCELLANEOUS PENAL LAW,383
Bronx,7,FELONY,NYS LAWS-UNCLASSIFIED FELONY,21
Bronx,7,FELONY,POSSESSION OF STOLEN PROPERTY,26
Bronx,7,FELONY,PROSTITUTION & RELATED OFFENSES,2
Bronx,7,FELONY,RAPE,51
Bronx,7,FELONY,ROBBERY,533
Bronx,7,FELONY,SEX CRIMES,64
Bronx,7,FELONY,THEFT-FRAUD,51
Bronx,8,FELONY,ARSON,40
Bronx,8,FELONY,BURGLARY,256
Bronx,8,FELONY,CHILD ABANDONMENT/NON SUPPORT,2
Bronx,8,FELONY,CRIMINAL MISCHIEF & RELATED OF,308
Bronx,8,FELONY,DANGEROUS DRUGS,162
Bronx,8,FELONY,DANGEROUS WEAPONS,109
Bronx,8,FELONY,ENDAN WELFARE INCOMP,1
Bronx,8,FELONY,FELONY ASSAULT,709
Bronx,8,FELONY,FELONY SEX CRIMES,1
Bronx,8,FELONY,FORGERY,79
Bronx,8,FELONY,GRAND LARCENY,851
Bronx,8,FELONY,GRAND LARCENY OF MOTOR VEHICLE,198
Bronx,8,FELONY,KIDNAPPING,1
Bronx,8,FELONY,KIDNAPPING & RELATED OFFENSES,6
Bronx,8,FELONY,MISCELLANEOUS PENAL LAW,232
Bronx,8,FELONY,NYS LAWS-UNCLASSIFIED FELONY,13
Bronx,8,FELONY,POSSESSION OF STOLEN PROPERTY,14
Bronx,8,FELONY,RAPE,94
Bronx,8,FELONY,ROBBERY,376
Bronx,8,FELONY,SEX CRIMES,65
Bronx,8,FELONY,THEFT-FRAUD,48
Bronx,9,FELONY,ARSON,38
