BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
M307,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
M459,2006,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5,1.8
M560,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M294,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
M299,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M407,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
M519,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
M304,2006,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.5,1.4
M449,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M570,2006,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5,1.8
M696,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
K544,2006,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.5,1.4
K337,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K685,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M479,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
Q263,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q560,2006,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.67,2.0,3.2
K524,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K533,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.4
X231,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X269,2006,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.8
Q530,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X265,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
X530,2006,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.6
X682,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
K330,2006,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,3.33,3.0,2.8
K546,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.6
M050,2006,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.8
M497,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q580,2006,4.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,3.33,2.5,1.8
X239,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X286,2006,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.6
K350,2006,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,3.33,3.0,2.8
K697,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
M199,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M313,2006,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,3.33,3.0,2.8
Q135,2006,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.33,3.0,2.4
Q196,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X331,2006,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.5,1.4
K101,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
Q093,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q109,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.6
X248,2006,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.5,1.4
X278,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
X477,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X548,2006,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.33,1.5,1.4
